product_hs92_code,product_name_short,product_name,export_rca,density,distance,pci,cog,export_value,import_value,strategic_zone
9610,"Slates and boards, with writing or drawing surfaces","Slates and boards, with writing or drawing surfaces,whether or not framed",0.615648,0.16200000000000003,0.838,0.556,0.003,5773988,5104198,Leveraged Strategic Bets
7406,Copper powders and flakes,Copper powders and flakes,0.610384,0.16300000000000003,0.837,-0.505,0.565,11370763,7680886,Leveraged Strategic Bets
2909,Ethers,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulfonated, nitrated or nitrosated derivatives",0.608862,0.17700000000000005,0.823,-0.16,0.579,119161294,90735304,Leveraged Strategic Bets
8474,Machinery for working minerals,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form; machinery for agglomerating, shaping or molding solid mineral fuels, c",0.607338,0.17200000000000004,0.828,0.039,0.637,151661893,654856863,Leveraged Strategic Bets
3302,Mixtures of odoriferous subtances,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufa",0.599515,0.17400000000000004,0.826,0.021,0.454,214995137,394442048,Leveraged Strategic Bets
5803,Gauze,"Gauze, other than narrow fabrics of heading 5806:",0.583656,0.17900000000000005,0.821,0.416,0.003,439232,706546,Leveraged Strategic Bets
8605,"Railway coaches, not self-propelled","Railway or tramway passenger coaches, not self- propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self- propelled (excluding those of heading 8604)",0.573462,0.16800000000000004,0.832,0.333,0.547,9969548,3063,Leveraged Strategic Bets
8418,"Refrigerators, freezers","Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps, other than the air conditioning machines of heading 8415; parts thereof",0.569996,0.17100000000000004,0.829,0.545,0.795,412349188,511341079,Leveraged Strategic Bets
2831,Dithionites and sulfoxylates,Dithionites and sulfoxylates,0.559928,0.16900000000000004,0.831,-0.043,0.692,1743164,8089963,Leveraged Strategic Bets
8539,Electrical filament,"Electrical filament or discharge lamps, including sealed beam lamp units and ultraviolet or infrared lamps; arc lamps; parts thereof",0.553394,0.16500000000000004,0.835,0.899,1.141,49309594,97230949,Leveraged Strategic Bets
1702,Other sugars,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavoring or coloring matter; artificial honey, whether or not mixed with natural honey; caramel",0.548026,0.16900000000000004,0.831,0.019,0.574,69998238,309572575,Leveraged Strategic Bets
3820,Antifreezing preparation,Antifreezing preparations and prepared deicing fluids,0.517037,0.16500000000000004,0.835,0.481,0.748,9063907,8770583,Leveraged Strategic Bets
8409,Parts suitable for use with spark-ignition engines,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,0.516099,0.17400000000000004,0.826,0.82,0.916,438217699,860158891,Leveraged Strategic Bets
8606,"Railway cars, not self-propelled","Railway or tramway freight cars, not self-propelled",0.515831,0.16100000000000003,0.839,0.017,0.518,23628957,5862164,Leveraged Strategic Bets
8443,Printers and copiers,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442; other printers, copying machines and facsimile machines, whether or not combined; parts and accessories thereof",0.513726,0.17500000000000004,0.825,1.062,1.029,256873877,523961647,Leveraged Strategic Bets
7307,Tube or pipe fittings of iron or steel,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or steel",0.50998,0.16000000000000003,0.84,0.882,1.238,126475693,293455629,Leveraged Strategic Bets
8703,Cars,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702),including station wagons and racing cars",0.502667,0.15600000000000003,0.844,0.982,0.932,5707351470,2150607611,Leveraged Strategic Bets
2813,Sulfides of nonmetals,Sulfides of nonmetals; commercial phosphorus trisulfide,0.498817,0.14300000000000002,0.857,0.957,1.026,1252251,1788438,Leveraged Strategic Bets
6912,Ceramic household articles,"Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china:",0.473979,0.17700000000000005,0.823,0.102,0.783,12629295,2523785,Leveraged Strategic Bets
8536,Electrical apparatus for < 1k volts,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, relays, fuses, surge suppressors, plugs, sockets, lamp-holders and other connectors, junction boxes), for",0.460094,0.16600000000000004,0.834,0.751,0.978,596927511,1014342529,Leveraged Strategic Bets
3305,Hair products,Preparations for use on the hair,0.459118,0.18100000000000005,0.819,0.333,0.66,93591189,62860909,Leveraged Strategic Bets
8511,Electrical ignition equipment,"Electrical ignition or starting equipment of a kind used for spark-ignition or compression-ignition internal combustion engines (for example, ignition magnetos, magneto-dynamos, ignition coils, spark plugs and glow plugs, starter motors); generators (for",0.457022,0.15400000000000003,0.846,1.136,1.146,115092523,258232241,Leveraged Strategic Bets
8423,Weighing machinery,"Weighing machinery (excluding balances of a sensitivity of 5 cg or better), including weight-operated counting or checking machines; weighing machine weights of all kinds; parts of weighing machinery",0.456806,0.14400000000000002,0.856,0.959,1.048,25855538,99368467,Leveraged Strategic Bets
3906,Acrylic polymers,Acrylic polymers in primary forms,0.455599,0.14800000000000002,0.852,1.542,1.314,92935555,271349053,Leveraged Strategic Bets
9029,Meters,"Revolution counters, production counters, taximeters, odometers, pedometers and the like; speedometers and tachometers, other than those of heading 9014 or 9015; stroboscopes;parts and accessories thereof",0.451979,0.17500000000000004,0.825,1.083,0.956,50369315,132180421,Leveraged Strategic Bets
6813,Friction material and articles thereof,"Friction material and articles thereof (for example, sheets, rolls, strips, segments, discs, washers, pads), not mounted, for brakes, for clutches or the like, with a basis of asbestos, of other mineral substances or of cellulose, whether or not combined",0.446223,0.15900000000000003,0.841,0.465,0.852,8077989,20103260,Leveraged Strategic Bets
6506,Other headgear,"Other headgear, whether or not lined or trimmed",0.438405,0.17300000000000004,0.827,0.344,0.898,24694489,23721514,Leveraged Strategic Bets
8303,Safes,"Armored or reinforced safes, strong-boxes and doors and safe deposit lockers for strong-rooms, cash or deed boxes and the like, and parts thereof, of base metal",0.431668,0.16700000000000004,0.833,0.526,0.831,7092601,14611515,Leveraged Strategic Bets
4704,"Chemical woodpulp, sulfite","Chemical woodpulp, sulfite, other than dissolving grades",0.423557,0.123,0.877,1.289,0.912,2698832,33749174,Leveraged Strategic Bets
6804,Grindstones,"Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives,",0.423254,0.15500000000000003,0.845,1.249,1.406,26043755,90413882,Leveraged Strategic Bets
8410,"Hydraulic turbines, water wheels and regulators","Hydraulic turbines, water wheels and regulators therefor; parts thereof",0.421188,0.15400000000000003,0.846,0.277,1.101,5092622,20725821,Leveraged Strategic Bets
3903,Polymers of styrene,"Polymers of styrene, in primary forms",0.416551,0.17400000000000004,0.826,0.431,0.898,73680864,307555822,Leveraged Strategic Bets
9001,Optical fibers,"Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other tha",0.415782,0.16900000000000004,0.831,1.108,1.075,138361676,125473172,Leveraged Strategic Bets
8710,Tanks and other armored fighting vehicles,"Tanks and other armored fighting vehicles, motorized, whether or not fitted with weapons, and parts of such vehicles",0.41336,0.14600000000000002,0.854,0.267,0.448,36154901,89415850,Leveraged Strategic Bets
3907,Polyacetals,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",0.412106,0.17300000000000004,0.827,0.434,1.072,282303743,881609061,Leveraged Strategic Bets
2811,Other inorganic acids,Other inorganic acids and other inorganic oxygen compounds of nonmetals,0.412074,0.18100000000000005,0.819,0.09,0.658,27364094,95017540,Leveraged Strategic Bets
3303,Perfumes,Perfumes and toilet waters,0.409426,0.16300000000000003,0.837,0.196,0.697,132626363,135066658,Leveraged Strategic Bets
7014,Signaling glassware,"Signaling glassware and optical elements of glass (other than those of heading 7015), not optically worked:",0.404269,0.139,0.861,1.843,1.201,2994161,6379231,Leveraged Strategic Bets
2003,"Mushrooms, prepared or preserved","Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",0.397209,0.15700000000000003,0.843,0.25,0.002,9593177,5223965,Leveraged Strategic Bets
0505,Feathers and down,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers(whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fea",0.395858,0.17300000000000004,0.827,-0.067,0.586,7046777,77213893,Leveraged Strategic Bets
3208,"Paints and varnishes, nonaqueous","Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a nonaqueous medium; solutions as defined in note 4 to this chapter",0.389563,0.18000000000000005,0.82,0.351,0.758,75816111,223608095,Leveraged Strategic Bets
5507,"Artificial staple fibers, processed","Artificial staple fibers, carded, combed or otherwise processed for spinning",0.388506,0.14700000000000002,0.853,0.157,0.003,156188,158819,Leveraged Strategic Bets
4705,Semichemical woodpulp,Wood pulp obtained by a combination of mechanical and chemical pulping processes,0.386925,0.16400000000000003,0.836,-0.013,0.271,8626766,101543873,Leveraged Strategic Bets
8431,Parts for use with hoists and excavation machinery,Parts suitable for use solely or principally with the machinery of headings 8425 to 8430,0.385615,0.16900000000000004,0.831,0.756,0.897,319428188,1784263882,Leveraged Strategic Bets
5704,Carpets of felt,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up",0.385149,0.16900000000000004,0.831,0.193,0.75,2903636,73448,Leveraged Strategic Bets
8708,Parts of motor vehicles,Parts and accessories of the motor vehicles of headings 8701 to 8705,0.371217,0.16100000000000003,0.839,0.986,1.092,1963318899,3681623818,Leveraged Strategic Bets
4009,Vulcanized rubber tubes,"Tubes, pipes and hoses, of vulcanized rubber other than hard rubber, with or without their fittings (for example, joints, elbows, flanges)",0.371036,0.16600000000000004,0.834,0.854,1.005,53798218,138629536,Leveraged Strategic Bets
7608,Aluminum tubes and pipes,Aluminum tubes and pipes,0.365322,0.17200000000000004,0.828,0.268,0.761,11354065,29103118,Leveraged Strategic Bets
7316,Anchors of iron or steel,"Anchors, grapnels and parts thereof, of iron or steel",0.36179,0.17300000000000004,0.827,0.018,0.535,1247943,7331459,Leveraged Strategic Bets
5603,Nonwoven textiles,"Nonwovens, whether or not impregnated, coated, covered or laminated",0.358661,0.15600000000000003,0.844,1.112,1.098,68942209,275557835,Leveraged Strategic Bets
8505,Electromagnets,"Electromagnets; permanent magnets and articles intended to become permanent magnets after magnetization;electromagnetic or permanent magnet chucks, clamps and similar holding devices;electromagnetic couplings, clutches and brakes; electromagnetic lifting",0.357949,0.15500000000000003,0.845,1.11,1.098,47598049,73865026,Leveraged Strategic Bets
8306,"Ornaments, statuettes, etc. of metal","Bells, gongs and the like, nonelectric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal; and base metal parts thereof",0.356436,0.17300000000000004,0.827,-0.461,0.399,11233891,12594702,Leveraged Strategic Bets
3505,Dextrins and other modified starches,"Dextrins and other modified starches (for example, pregelatinized or esterified starches); glues based on starches, or on dextrins or other modified starches",0.354767,0.16000000000000003,0.84,0.926,0.948,21640046,142647977,Leveraged Strategic Bets
8538,Parts for electrical apparatus,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537",0.353483,0.16300000000000003,0.837,1.083,1.21,179083953,360945013,Leveraged Strategic Bets
8424,Sprays and powder dispersers,"Mechanical appliances (whether or not hand operated) for projecting, dispersing or spraying liquids or powders; fire extinguishers, whether or not charged; spray guns and similar appliances; steam or sand blasting machines and similar jet projecting machi",0.351885,0.14700000000000002,0.853,0.993,1.13,99070645,259246491,Leveraged Strategic Bets
8482,Ball or roller bearings,"Ball or roller bearings, and parts thereof",0.351787,0.16500000000000004,0.835,1.373,1.236,137635107,503364506,Leveraged Strategic Bets
7013,Glassware for interior decorative use,"Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018)",0.350293,0.15500000000000003,0.845,0.468,0.865,44927140,87258549,Leveraged Strategic Bets
3815,Catalytic preparations,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included",0.349247,0.14100000000000001,0.859,1.001,1.101,116060792,335147990,Leveraged Strategic Bets
0103,Swine,Live swine,0.348448,0.15200000000000002,0.848,0.794,0.708,20210068,36144,Leveraged Strategic Bets
9402,"Medical, dental or veterinary furniture","Medical, surgical, dental or veterinary furniture (for example, operating tables, examination tables, hospital beds with mechanical fittings, dentists' chairs); barbers' chairs and similar chairs, having rotating as well as both reclining and elevating mo",0.348006,0.14800000000000002,0.852,1.056,1.192,20753176,31963666,Leveraged Strategic Bets
9009,Electrostatic photo-copyers,"Electrostatic photo-copyers, direct process",0.347482,0.17500000000000004,0.825,0.753,0.877,6538894,18073767,Leveraged Strategic Bets
8707,Vehicle Bodies,"Bodies (including cabs), for the motor vehicles of headings 8701 to 8705",0.34419,0.15800000000000003,0.842,0.804,1.033,42428352,78851279,Leveraged Strategic Bets
8504,Electrical transformers,"Electrical transformers, static converters (for example, rectifiers) and inductors; parts thereof",0.335353,0.17100000000000004,0.829,0.997,1.053,570197452,1193793672,Leveraged Strategic Bets
6808,Panels of vegetable fibers,"Panels, boards, tiles, blocks and similar articles of vegetable fiber, of straw or of shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders",0.333314,0.16900000000000004,0.831,0.173,0.801,2532070,2273880,Leveraged Strategic Bets
8103,Tantalum,"Tantalum and articles thereof,including waste and scrap",0.329973,0.15700000000000003,0.843,0.562,0.887,3156214,43858911,Leveraged Strategic Bets
3921,"Other plastic plates, sheets etc.","Other plates, sheets, film, foil and strip, of plastics",0.320647,0.17500000000000004,0.825,0.71,0.806,119220211,346671520,Leveraged Strategic Bets
8901,Cargo ships and similar vessels,"Cruise ships, excursion boats,ferry boats, cargo ships, barges and similar vessels for the transport of persons or goods",0.319964,0.17200000000000004,0.828,-0.499,0.713,326257846,657633331,Leveraged Strategic Bets
4016,Other articles of vulcanized rubber,Other articles of vulcanized rubber other than hard rubber,0.316757,0.16500000000000004,0.835,0.919,1.026,116444892,304797861,Leveraged Strategic Bets
9618,Mannequins,Tailors' dummies and other mannequins;automatons and other animated displays used for shopwindow dressing,0.315071,0.17200000000000004,0.828,-0.034,0.658,2217707,3355128,Leveraged Strategic Bets
7508,Other articles of nickel,Other articles of nickel,0.311909,0.11099999999999999,0.889,0.964,0.886,11618290,13378773,Leveraged Strategic Bets
4811,"Cellulose wadding, coated","Paper, paperboard, cellulose wadding and webs of cellulose fibers, coated, impregnated, covered, surface-colored, surface-decorated or printed, in rolls or rectangular (including square) sheets, of any size, other than goods of the kind described in headi",0.309779,0.16700000000000004,0.833,0.308,0.743,75570948,315284448,Leveraged Strategic Bets
7607,Aluminum foil < 0.2 mm,"Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness(excluding any backing) not exceeding 0.2 mm",0.307995,0.16200000000000003,0.838,0.919,1.073,54177189,302882112,Leveraged Strategic Bets
6806,Mineral wools and insulating materials,"Slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those o",0.306488,0.15800000000000003,0.842,0.801,0.95,19712633,67713054,Leveraged Strategic Bets
8501,Electric motors and generators,Electric motors and generators (excluding generating sets),0.305876,0.16600000000000004,0.834,0.955,1.142,244298790,575900900,Leveraged Strategic Bets
3807,Wood tar and oils,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch",0.303921,0.14900000000000002,0.851,0.319,0.631,540508,173088,Leveraged Strategic Bets
8202,Handsaws,"Handsaws, and metal parts thereof; blades for saws of all kinds (including slitting, slotting or toothless saw blades), and base metal parts thereof",0.302897,0.14600000000000002,0.854,1.558,1.145,17995673,53698227,Leveraged Strategic Bets
7205,Powders of iron or steel,"Granules and powders, of pig iron, spiegeleisen, iron or steel",0.302251,0.16100000000000003,0.839,0.815,1.022,8264800,29684817,Leveraged Strategic Bets
7315,Chain of iron or steel,"Chain and parts thereof, of iron or steel",0.29701,0.14500000000000002,0.855,1.076,1.12,21298385,182702672,Leveraged Strategic Bets
7011,Glass envelopes,"Glass envelopes (including bulbs and tubes), open, and glass parts thereof, without fittings, for electric lamps, cathode-ray tubes or the like",0.294033,0.18000000000000005,0.82,-0.075,0.003,344719,430035,Leveraged Strategic Bets
3306,Dental hygiene products,"Preparations for oral or dental hygiene, including denture fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages",0.29278,0.17800000000000005,0.822,0.277,0.594,22381235,21547016,Leveraged Strategic Bets
7326,Other articles of iron or steel,Other articles of iron or steel,0.291864,0.16600000000000004,0.834,0.761,1.013,231163895,595178314,Leveraged Strategic Bets
8521,Video recording apparatus,"Video recording or reproducing apparatus, whether or not incorporating a video tuner",0.282075,0.17400000000000004,0.826,0.931,1.013,145116734,366239168,Leveraged Strategic Bets
8537,Electrical boards,"Boards, panels, consoles,desks, cabinets and other bases, equipped with two or more apparatus of heading 8535 or 8536,for electric control or the distribution of electricity, including those incorporating instruments or apparatus of chapter 90, and numeri",0.281589,0.17800000000000005,0.822,0.868,0.793,298350462,787919999,Leveraged Strategic Bets
2934,Nucleic acids and their salts,"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds",0.279983,0.15300000000000002,0.847,1.385,1.135,90625657,91189727,Leveraged Strategic Bets
8484,Gaskets and similar joints of metal sheeting,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals",0.279095,0.15000000000000002,0.85,1.261,1.272,15931682,70292337,Leveraged Strategic Bets
8526,Radar,"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus",0.272355,0.15700000000000003,0.843,1.041,1.096,67679185,127461127,Leveraged Strategic Bets
5506,"Synthetic staple fibers, processed","Synthetic staple fibers, carded, combed or otherwise processed for spinning",0.271375,0.17100000000000004,0.829,0.247,0.766,924952,7886880,Leveraged Strategic Bets
2920,Esters of other inorganic acids of nonmetals,"Esters of other inorganic acids of nonmetals (excluding esters of hydrogen halides) and their salts; their halogenated, sulfonated, nitrated or nitrosated derivatives",0.266192,0.15200000000000002,0.848,1.568,1.417,4954307,12618448,Leveraged Strategic Bets
8545,Carbon articles for eletrical purposes,"Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbon, with or without metal, of a kind used for electrical purposes",0.265455,0.16000000000000003,0.84,0.591,0.92,20558507,108916302,Leveraged Strategic Bets
1603,Extracts and juices of meat or fish,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates",0.265037,0.17600000000000005,0.824,-0.082,0.479,827864,2867536,Leveraged Strategic Bets
4909,Printed or illustrated postcards,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, whether or not illustrated, with or without envelopes or trimmings:",0.264235,0.16900000000000004,0.831,-0.133,0.639,2677860,1017308,Leveraged Strategic Bets
7220,Flat-rolled products of stainless steel of a width < 600 mm,"Flat-rolled products of stainless steel, of a width of less than 600 mm",0.261312,0.15300000000000002,0.847,1.708,1.423,16781141,57591265,Leveraged Strategic Bets
8421,Centrifuges,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases; parts thereof",0.257905,0.14700000000000002,0.853,1.071,1.16,277033160,1327819207,Leveraged Strategic Bets
7318,Screws and similar articles of iron or steel,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel",0.254197,0.135,0.865,1.883,1.594,129575321,505661944,Leveraged Strategic Bets
7009,Glass mirrors,"Glass mirrors, whether or not framed, including rear-view mirrors",0.248749,0.14600000000000002,0.854,0.809,0.86,25305282,50816697,Leveraged Strategic Bets
7503,Nickel waste and scrap,Nickel waste and scrap,0.247273,0.16800000000000004,0.832,0.44,0.904,3713160,764873,Leveraged Strategic Bets
2826,Flourides,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts",0.24644,0.16700000000000004,0.833,0.812,0.985,5048469,18026721,Leveraged Strategic Bets
